user_id,content_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,churned,title,type,genre,language,country_production,release_year,duration_minutes,imdb_rating,popularity_score,total_views,avg_completion_rate,age_rating,engagement_score,churn_impact_score,age_group,watch_time_group,completion_group,sessions_group,churn_label
U140095,C29835,52,Other,Brazil,52,Standard,7.99,Debit Card,Mobile,3,Sci-Fi,89,12,4,82,4.8,20,17,54,No,Last Secret,Movie,Romance,German,Japan,2003,167,5.6,99.48,1924721,0.45,PG-13,66.792,0.46,46-60,60-120,Alto,Muy alto,Activo
U127552,C1015,28,Male,Canada,24,Premium,15.99,Credit Card,Tablet,1,Thriller,27,13,10,97,2.6,44,3,8,No,Game Last,Movie,Horror,English,South Korea,2006,131,6.3,15.92,8919052,0.85,PG,57.368,0.19,26-35,<30,Muy alto,Muy alto,Activo
U141081,C17627,59,Male,Brazil,43,Basic,12.99,Credit Card,Mobile,3,Documentary,111,8,5,62,1.4,12,94,15,No,Life Last,Series,Documentary,English,Spain,1996,107,6.5,82.43,204642,0.92,PG,88.172,0.01,46-60,60-120,Medio,Alto,Activo
U138233,C10913,50,Male,India,10,Basic,15.99,Debit Card,Smart TV,2,Thriller,87,11,4,54,3.2,10,3,1,No,Night Love,Series,Comedy,Spanish,USA,2019,112,7.4,27.46,1583364,0.4,18+,34.984,0.64,46-60,60-120,Medio,Muy alto,Activo
U128526,C5899,26,Other,India,33,Premium,7.99,Credit Card,Mobile,1,Sci-Fi,262,9,11,89,1.3,6,97,21,No,Life Love,Movie,Drama,Japanese,Germany,2005,89,9.8,73.01,4506331,0.95,16+,86.20400000000001,0.12,26-35,180+,Alto,Alto,Activo
U105431,C13576,51,Female,Germany,59,Standard,12.99,Debit Card,Mobile,1,Romance,91,11,9,40,2.1,48,60,19,No,Secret Dark,Series,Documentary,French,South Korea,2024,88,6.0,70.96,370382,0.85,PG-13,79.384,0.11,46-60,60-120,Bajo,Muy alto,Activo
U116977,C13378,32,Female,Spain,12,Standard,12.99,Debit Card,Smart TV,2,Comedy,65,1,10,80,3.3,48,48,43,Yes,World Last,Movie,Romance,German,Germany,2023,144,6.3,17.07,8427534,0.46,PG,34.428,0.4,26-35,60-120,Alto,Bajo,Inactivo
U108338,C9432,53,Male,Japan,15,Basic,12.99,UPI,Laptop,2,Action,238,12,9,37,2.2,27,86,53,No,Life World,Series,Documentary,Japanese,Germany,2014,88,9.2,13.47,5146657,0.42,18+,30.588,0.64,46-60,180+,Bajo,Muy alto,Activo
U111933,C18382,57,Male,Japan,15,Premium,7.99,UPI,Laptop,3,Action,104,17,13,80,3.3,35,13,20,Yes,Game Secret,Movie,Documentary,Korean,France,2023,159,6.6,3.0,8671520,0.43,18+,27.0,0.59,46-60,60-120,Alto,Muy alto,Inactivo
U107508,C49262,30,Female,USA,8,Standard,15.99,PayPal,Mobile,2,Drama,242,6,13,42,1.0,46,9,20,No,Love Dark,Series,Romance,German,Spain,2024,114,6.6,45.76,6144352,0.69,16+,59.70399999999999,0.33,26-35,180+,Bajo,Alto,Activo
