user_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,churned
U100000,56,Male,India,17,Standard,15.99,PayPal,Laptop,1,Sci-Fi,220,17,3,60,1.7,5,66,16,No
U100001,46,Female,USA,20,Standard,12.99,PayPal,Tablet,2,Documentary,76,15,4,71,4.6,7,78,14,No
U100002,32,Other,USA,25,Basic,15.99,PayPal,Tablet,2,Comedy,215,6,13,33,2.0,27,29,41,No
U100003,60,Male,Canada,37,Standard,12.99,PayPal,Smart TV,3,Action,280,4,9,58,1.2,9,23,22,No
U100004,25,Male,Brazil,23,Premium,12.99,PayPal,Mobile,3,Horror,261,15,9,64,1.3,49,56,54,No
U100005,38,Female,France,23,Standard,12.99,PayPal,Tablet,2,Documentary,92,11,1,46,3.9,15,36,18,No
U100006,56,Other,Brazil,11,Basic,15.99,Credit Card,Tablet,1,Documentary,111,9,12,93,3.3,45,46,2,No
U100007,36,Other,Australia,46,Standard,15.99,PayPal,Mobile,3,Sci-Fi,293,10,2,81,1.7,42,35,59,No
U100008,40,Female,Australia,20,Basic,12.99,Credit Card,Laptop,2,Romance,202,7,9,60,2.0,15,24,31,No
U100009,28,Female,UK,7,Premium,15.99,UPI,Mobile,2,Action,246,2,5,55,4.9,11,17,31,Yes
U100010,28,Female,Brazil,23,Standard,12.99,Credit Card,Mobile,1,Sci-Fi,44,18,4,68,1.4,22,80,7,No
U100011,41,Other,France,23,Basic,12.99,Debit Card,Smart TV,2,Romance,182,3,10,84,2.5,28,40,40,No
U100012,53,Male,Australia,27,Standard,7.99,UPI,Mobile,1,Documentary,42,18,5,74,2.9,12,43,0,Yes
U100013,57,Female,UK,21,Standard,7.99,UPI,Smart TV,1,Documentary,68,13,5,76,1.7,6,67,12,No
U100014,41,Female,Japan,21,Basic,12.99,UPI,Mobile,2,Action,150,10,4,52,1.2,21,77,16,Yes
U100015,20,Male,Germany,58,Standard,15.99,Credit Card,Mobile,2,Documentary,294,1,3,35,2.5,7,53,19,No
U100016,39,Male,India,32,Premium,7.99,PayPal,Laptop,2,Thriller,141,15,1,71,4.0,16,60,32,No
U100017,19,Other,Canada,50,Standard,7.99,Credit Card,Tablet,2,Romance,154,10,1,89,2.3,39,10,33,No
U100018,41,Female,Brazil,28,Standard,7.99,Credit Card,Smart TV,3,Comedy,219,19,2,45,3.9,15,86,16,No
U100019,61,Other,USA,37,Basic,7.99,Debit Card,Tablet,1,Comedy,20,16,7,72,2.7,34,86,42,No
U100020,47,Male,USA,2,Basic,12.99,PayPal,Smart TV,2,Comedy,283,15,5,71,2.9,11,77,20,No
U100021,55,Female,Japan,29,Premium,12.99,Credit Card,Mobile,1,Drama,80,10,3,77,1.5,24,55,49,No
U100022,19,Other,UK,50,Premium,7.99,Credit Card,Mobile,3,Documentary,275,10,7,31,3.7,32,55,5,Yes
U100023,38,Other,USA,9,Basic,12.99,PayPal,Tablet,1,Thriller,171,16,4,57,1.9,23,22,29,Yes
U100024,50,Male,Brazil,35,Standard,7.99,UPI,Tablet,2,Drama,241,19,11,67,3.9,11,66,0,No
U100025,29,Female,Brazil,38,Standard,12.99,PayPal,Smart TV,1,Drama,52,5,2,33,2.5,48,73,33,No
U100026,39,Other,India,39,Basic,15.99,UPI,Smart TV,2,Thriller,182,2,11,77,3.8,34,35,33,No
U100027,61,Other,Australia,47,Standard,15.99,UPI,Smart TV,2,Drama,128,9,2,85,2.7,14,73,30,No
U100028,42,Male,UK,4,Premium,7.99,UPI,Mobile,3,Sci-Fi,127,10,7,59,4.3,49,18,32,No
U100029,44,Female,UK,22,Standard,12.99,PayPal,Mobile,2,Thriller,18,12,11,97,2.5,5,63,27,Yes
U100030,59,Male,Germany,23,Premium,7.99,Credit Card,Smart TV,1,Action,291,3,11,40,2.3,4,69,23,No
U100031,45,Other,India,6,Basic,7.99,PayPal,Smart TV,1,Horror,242,18,1,95,2.2,13,61,46,No
U100032,33,Female,Canada,36,Basic,7.99,Credit Card,Mobile,3,Drama,18,13,11,58,2.4,34,10,34,No
U100033,32,Male,India,20,Standard,15.99,Debit Card,Tablet,1,Horror,271,3,8,40,1.8,29,67,21,Yes
U100034,64,Female,Japan,51,Premium,15.99,Credit Card,Tablet,3,Horror,72,8,13,44,4.7,44,92,33,Yes
U100035,61,Female,France,5,Premium,7.99,UPI,Laptop,2,Romance,212,13,1,68,2.8,44,32,26,No
U100036,20,Female,USA,12,Premium,15.99,PayPal,Mobile,2,Action,122,12,13,83,4.3,48,86,16,No
U100037,54,Other,Japan,59,Standard,7.99,Credit Card,Laptop,2,Sci-Fi,64,6,3,65,4.0,3,53,19,Yes
U100038,24,Female,Australia,1,Premium,7.99,Debit Card,Mobile,1,Action,27,10,13,51,2.4,34,84,27,No
U100039,38,Male,India,39,Basic,15.99,Debit Card,Tablet,3,Action,218,7,5,73,3.8,4,66,21,No
U100040,26,Female,UK,41,Standard,15.99,Credit Card,Laptop,1,Horror,262,2,12,35,2.3,39,29,56,No
U100041,56,Female,Brazil,3,Standard,12.99,PayPal,Laptop,3,Horror,263,11,0,31,4.1,20,88,50,No
U100042,35,Other,Canada,42,Standard,7.99,UPI,Laptop,3,Thriller,129,16,1,67,2.0,31,61,38,No
U100043,21,Male,Australia,43,Standard,15.99,PayPal,Laptop,1,Romance,190,2,11,43,1.7,36,30,8,No
U100044,42,Female,USA,56,Premium,15.99,UPI,Laptop,2,Sci-Fi,265,5,0,74,4.3,25,97,6,No
U100045,31,Other,Spain,21,Premium,7.99,Debit Card,Tablet,2,Horror,123,15,7,50,2.4,28,25,30,No
U100046,26,Other,Canada,2,Standard,15.99,PayPal,Tablet,2,Documentary,133,17,4,84,1.3,46,72,17,Yes
U100047,43,Female,USA,32,Premium,7.99,PayPal,Laptop,1,Romance,107,8,5,74,3.4,33,92,5,No
U100048,19,Female,Brazil,29,Basic,7.99,PayPal,Smart TV,1,Sci-Fi,126,7,4,57,1.7,25,23,32,No
U100049,37,Female,Japan,47,Basic,15.99,UPI,Smart TV,3,Thriller,12,3,14,96,2.7,43,63,32,No
U100050,45,Other,USA,28,Standard,12.99,PayPal,Tablet,1,Comedy,27,15,11,52,3.3,44,79,24,No
U100051,64,Female,Australia,33,Standard,12.99,PayPal,Smart TV,3,Action,106,12,5,97,3.0,16,19,56,No
U100052,24,Other,Spain,26,Basic,12.99,PayPal,Tablet,3,Documentary,285,4,6,84,1.7,45,73,47,Yes
U100053,61,Male,France,15,Basic,7.99,Debit Card,Mobile,2,Drama,217,13,13,87,2.5,26,48,8,No
U100054,25,Female,France,45,Standard,7.99,PayPal,Tablet,2,Documentary,220,10,12,93,3.9,2,56,21,No
U100055,64,Male,Australia,26,Standard,15.99,PayPal,Smart TV,3,Action,283,9,8,78,4.4,9,2,39,No
U100056,52,Male,USA,9,Premium,12.99,Credit Card,Laptop,1,Romance,231,1,4,74,3.7,20,17,28,No
U100057,31,Male,Japan,21,Basic,7.99,Credit Card,Laptop,3,Comedy,52,12,6,50,4.9,35,94,4,No
U100058,34,Other,France,20,Premium,15.99,Debit Card,Laptop,2,Sci-Fi,197,9,10,89,4.5,2,32,51,No
U100059,53,Other,UK,49,Premium,12.99,Debit Card,Mobile,2,Horror,167,17,10,32,4.8,16,11,15,No
U100060,57,Other,USA,27,Standard,12.99,UPI,Tablet,3,Drama,226,4,0,90,4.0,35,29,3,No
U100061,21,Other,Canada,42,Standard,7.99,Debit Card,Smart TV,2,Romance,251,17,14,44,2.8,38,35,39,No
U100062,19,Male,Germany,1,Standard,15.99,UPI,Tablet,2,Action,250,15,7,64,4.4,36,21,23,No
U100063,23,Other,Canada,9,Standard,7.99,Debit Card,Tablet,1,Thriller,119,5,2,80,1.7,32,57,3,No
U100064,59,Male,Brazil,58,Standard,15.99,UPI,Laptop,1,Thriller,297,5,9,38,2.6,44,51,23,Yes
U100065,21,Male,France,51,Premium,12.99,UPI,Mobile,3,Horror,44,1,7,94,3.2,19,49,36,No
U100066,46,Other,Spain,38,Standard,7.99,Debit Card,Laptop,1,Romance,71,2,2,53,3.0,22,78,7,No
U100067,35,Male,Germany,20,Standard,7.99,Credit Card,Laptop,3,Comedy,161,1,13,79,3.6,43,32,50,No
U100068,43,Other,UK,57,Standard,15.99,UPI,Smart TV,3,Drama,170,7,6,49,4.9,48,19,0,No
U100069,61,Male,Japan,19,Premium,15.99,Credit Card,Laptop,2,Romance,95,7,1,94,2.2,26,0,12,No
U100070,51,Female,UK,44,Basic,7.99,Debit Card,Laptop,2,Horror,297,2,9,50,3.2,3,58,11,No
U100071,27,Other,UK,11,Standard,15.99,PayPal,Mobile,2,Comedy,175,3,6,62,1.2,10,96,0,No
U100072,53,Male,UK,14,Standard,15.99,Debit Card,Tablet,1,Drama,182,15,0,30,4.8,31,88,36,No
U100073,31,Other,Australia,25,Premium,12.99,UPI,Mobile,3,Documentary,253,4,5,37,4.3,48,17,44,No
U100074,48,Male,India,12,Basic,12.99,Credit Card,Smart TV,2,Thriller,283,18,7,47,4.9,36,80,36,No
U100075,32,Other,Canada,45,Premium,12.99,Credit Card,Tablet,3,Action,204,7,1,41,2.8,24,20,5,No
U100076,25,Female,Australia,7,Premium,12.99,Credit Card,Smart TV,3,Romance,259,17,12,57,4.1,9,92,58,No
U100077,31,Female,USA,3,Premium,7.99,Credit Card,Laptop,3,Action,129,17,8,63,1.7,14,80,11,No
U100078,40,Other,UK,39,Basic,12.99,Debit Card,Smart TV,1,Sci-Fi,55,19,3,76,2.1,21,40,53,No
U100079,57,Other,Canada,16,Premium,12.99,UPI,Smart TV,2,Comedy,235,9,1,87,2.4,5,33,52,No
U100080,38,Male,France,1,Standard,7.99,Debit Card,Laptop,1,Romance,251,3,10,44,2.1,16,78,5,No
U100081,33,Male,India,15,Standard,7.99,Debit Card,Tablet,2,Documentary,49,10,5,41,2.1,38,78,21,No
U100082,62,Other,Brazil,44,Basic,15.99,Credit Card,Smart TV,3,Horror,165,14,14,90,4.9,10,84,50,No
U100083,35,Female,UK,11,Premium,12.99,PayPal,Laptop,2,Sci-Fi,75,5,13,78,3.6,0,46,49,No
U100084,64,Female,Australia,1,Basic,7.99,UPI,Tablet,3,Action,168,2,14,89,1.1,13,15,1,No
U100085,41,Other,India,3,Standard,12.99,Credit Card,Tablet,1,Horror,266,8,13,58,4.3,44,32,26,No
U100086,43,Male,Japan,22,Basic,15.99,Credit Card,Laptop,1,Action,56,15,8,79,2.9,11,0,12,No
U100087,42,Other,Canada,43,Standard,7.99,PayPal,Smart TV,3,Comedy,176,13,2,91,4.0,36,71,5,No
U100088,62,Other,Australia,6,Premium,15.99,Credit Card,Mobile,1,Romance,188,1,1,73,3.8,13,24,48,No
U100089,58,Female,Canada,22,Basic,15.99,PayPal,Mobile,3,Thriller,120,9,7,79,2.4,17,39,46,No
U100090,46,Female,France,45,Standard,12.99,UPI,Tablet,2,Documentary,10,5,13,48,1.2,35,90,2,No
U100091,32,Male,Australia,50,Premium,7.99,UPI,Smart TV,2,Sci-Fi,15,17,8,45,4.8,9,60,49,Yes
U100092,62,Male,Germany,28,Standard,15.99,Credit Card,Laptop,3,Comedy,297,1,14,55,4.1,20,3,45,No
U100093,18,Other,France,14,Standard,7.99,Credit Card,Smart TV,1,Documentary,13,17,1,60,1.3,11,65,0,No
U100094,42,Other,India,46,Basic,12.99,UPI,Mobile,3,Thriller,242,10,12,42,2.3,47,14,19,No
U100095,24,Other,Canada,32,Premium,12.99,PayPal,Laptop,1,Drama,185,1,3,86,1.2,19,39,1,No
U100096,26,Other,Germany,58,Basic,12.99,PayPal,Tablet,1,Thriller,129,8,1,55,2.3,14,46,36,No
U100097,41,Female,USA,29,Standard,15.99,Debit Card,Mobile,1,Sci-Fi,214,8,8,96,2.7,40,99,51,No
U100098,18,Male,Brazil,5,Basic,7.99,Credit Card,Mobile,1,Sci-Fi,254,3,11,32,4.6,6,46,41,No
U100099,61,Male,France,44,Basic,15.99,UPI,Smart TV,2,Romance,10,5,8,63,3.3,32,75,13,No
U100100,25,Male,Canada,35,Premium,15.99,PayPal,Smart TV,1,Comedy,154,18,7,44,2.8,23,28,3,No
U100101,41,Male,Canada,11,Basic,15.99,Credit Card,Smart TV,1,Comedy,47,7,13,66,3.2,16,12,22,Yes
U100102,28,Female,UK,1,Basic,15.99,Debit Card,Laptop,1,Horror,250,11,6,83,4.3,46,65,53,No
